Tên kỳ;Số mắc mới trong ngày;Số mắc tích lũy;Cách ly tập trung;Cách ly tại nhà;Lấy mẫu xét nghiệm;Người về tỉnh
4/4/2021 0:00;0;0;0;0;0;0
5/4/2021 0:00;0;0;0;0;0;0
6/4/2021 0:00;0;0;0;0;0;0
7/4/2021 0:00;0;0;0;0;0;0
8/4/2021 0:00;0;0;0;0;0;0
9/4/2021 0:00;0;0;0;0;0;0
10/4/2021 0:00;0;0;0;0;0;0
11/4/2021 0:00;0;0;0;0;0;0
12/4/2021 0:00;0;0;0;0;0;0
13/04/2021 0:00;0;0;0;0;0;0
14/04/2021 0:00;0;0;0;0;0;0
15/04/2021 0:00;0;0;0;0;0;0
16/04/2021 0:00;0;0;0;0;0;0
17/04/2021 0:00;0;0;0;0;0;0
18/04/2021 0:00;0;0;0;0;0;0
19/04/2021 0:00;0;0;0;0;0;0
20/04/2021 0:00;0;0;0;0;0;0
21/04/2021 0:00;0;0;0;0;0;0
22/04/2021 0:00;0;0;0;0;0;0
23/04/2021 0:00;0;0;0;0;0;0
24/04/2021 0:00;0;0;0;0;0;0
25/04/2021 0:00;0;0;0;0;0;0
26/04/2021 0:00;0;0;0;0;0;0
27/04/2021 0:00;0;0;0;0;0;0
28/04/2021 0:00;0;0;0;0;0;0
29/04/2021 0:00;0;0;0;0;0;0
30/04/2021 0:00;0;0;0;0;0;0
1/5/2021 0:00;0;0;0;0;0;0
2/5/2021 0:00;0;0;0;0;0;0
3/5/2021 0:00;0;0;0;0;0;0
4/5/2021 0:00;0;0;0;0;0;0
5/5/2021 0:00;0;0;0;0;0;0
6/5/2021 0:00;0;0;0;0;0;0
7/5/2021 0:00;0;0;0;0;0;0
8/5/2021 0:00;0;0;0;0;0;0
9/5/2021 0:00;0;0;0;0;0;0
10/5/2021 0:00;0;0;0;0;0;0
11/5/2021 0:00;0;0;0;0;0;0
12/5/2021 0:00;0;0;0;0;0;0
13/05/2021 0:00;0;0;0;0;0;0
14/05/2021 0:00;0;0;0;0;0;0
15/05/2021 0:00;0;0;0;0;0;0
16/05/2021 0:00;0;0;0;0;0;0
17/05/2021 0:00;0;0;0;0;0;0
18/05/2021 0:00;0;0;0;0;0;0
19/05/2021 0:00;0;0;0;0;0;0
20/05/2021 0:00;0;0;0;0;0;0
21/05/2021 0:00;0;0;0;0;0;0
22/05/2021 0:00;0;0;0;0;0;0
23/05/2021 0:00;0;0;0;0;0;0
24/05/2021 0:00;0;0;0;0;0;0
25/05/2021 0:00;0;0;0;0;0;0
26/05/2021 0:00;0;0;0;0;0;0
27/05/2021 0:00;0;0;0;0;0;0
28/05/2021 0:00;0;0;0;0;0;0
29/05/2021 0:00;0;0;0;0;0;0
30/05/2021 0:00;0;0;0;0;0;0
31/05/2021 0:00;0;0;0;0;0;0
1/6/2021 0:00;0;0;0;0;0;0
2/6/2021 0:00;0;0;0;0;0;0
3/6/2021 0:00;0;0;0;0;0;0
4/6/2021 0:00;0;0;0;0;0;0
5/6/2021 0:00;0;0;0;0;0;0
6/6/2021 0:00;0;0;0;0;0;0
7/6/2021 0:00;0;0;0;0;0;0
8/6/2021 0:00;0;0;0;0;0;0
9/6/2021 0:00;0;0;0;0;0;0
10/6/2021 0:00;0;0;0;0;0;0
11/6/2021 0:00;0;0;0;0;0;0
12/6/2021 0:00;0;0;0;0;0;0
13/06/2021 0:00;0;0;0;0;0;0
