Ngày,Lượt vào,Lượt ra,Tử vong
01/08/2017,697,721,0
02/08/2017,640,623,2
03/08/2017,611,613,1
04/08/2017,660,721,0
05/08/2017,73,41,
06/08/2017,71,25,
07/08/2017,802,823,2
08/08/2017,770,775,1
09/08/2017,646,624,0
10/08/2017,693,698,0
11/08/2017,677,741,0
12/08/2017,81,30,
13/08/2017,85,34,0
14/08/2017,824,896,0
15/08/2017,726,753,2
16/08/2017,700,712,0
17/08/2017,641,660,0
18/08/2017,674,723,1
19/08/2017,79,42,
20/08/2017,58,15,
21/08/2017,779,835,0
22/08/2017,619,645,0
23/08/2017,593,642,1
24/08/2017,598,649,0
25/08/2017,666,724,0
26/08/2017,52,26,
27/08/2017,48,15,
28/08/2017,705,868,0
29/08/2017,560,644,1
30/08/2017,532,613,0
31/08/2017,0,64,1
01/09/2017,607,666,0
02/09/2017,83,29,
03/09/2017,81,45,
04/09/2017,87,53,
05/09/2017,858,921,7
06/09/2017,764,763,1
07/09/2017,741,734,1
08/09/2017,748,815,0
09/09/2017,70,24,
10/09/2017,84,39,
11/09/2017,797,837,2
12/09/2017,695,714,0
13/09/2017,637,647,1
14/09/2017,669,691,0
15/09/2017,667,763,1
16/09/2017,58,39,
17/09/2017,78,27,
18/09/2017,795,895,5
19/09/2017,661,703,0
20/09/2017,551,604,2
21/09/2017,601,674,2
22/09/2017,637,722,0
23/09/2017,33,23,
24/09/2017,22,23,
25/09/2017,681,840,2
01/10/2017,76,33,
02/10/2017,821,880,2
03/10/2017,606,624,0
04/10/2017,693,703,1
05/10/2017,731,729,0
06/10/2017,771,845,1
07/10/2017,81,33,
08/10/2017,87,43,
09/10/2017,851,910,3
10/10/2017,735,741,2
11/10/2017,697,734,0
12/10/2017,652,692,0
13/10/2017,807,845,0
14/10/2017,101,44,
15/10/2017,95,44,
16/10/2017,806,916,0
17/10/2017,732,771,3
18/10/2017,641,677,0
19/10/2017,509,550,1
20/10/2017,662,733,0
21/10/2017,57,30,
22/10/2017,50,22,
23/10/2017,736,783,0
24/10/2017,657,710,0
25/10/2017,585,625,0
26/10/2017,567,654,1
27/10/2017,607,717,0
28/10/2017,25,28,
29/10/2017,20,20,
01/11/2017,544,558,1
02/11/2017,574,584,0
03/11/2017,659,717,4
04/11/2017,64,24,
05/11/2017,90,34,
06/11/2017,768,824,3
07/11/2017,669,679,2
08/11/2017,581,610,1
09/11/2017,548,583,1
10/11/2017,684,758,0
11/11/2017,69,30,
12/11/2017,64,34,
13/11/2017,716,783,0
14/11/2017,84,22,0
15/11/2017,611,631,0
16/11/2017,533,561,0
17/11/2017,640,695,1
